,orgA_id,orgB_id,ks,pval,orgA_label,orgB_label,correct
2199,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,70c8c2de0f0cedfcaa2fa93c185cb87ad7ae78dd7d672cb2c4dbd9519d93d18a,0.20554899645808736,0.00016701137231764859,8,16,False
4,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,8938f1827b95bb7d4bc08a296a136de7c24d5f6b9dcf8ce1ec2d0a4fa298c2dc,0.20768643031784842,2.8677897213019914e-07,13,14,False
2261,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,6dd8f7bf1b910097e55682df69a4c9432193c8386b216b9297ab7ced0f13da8e,0.2123152709359606,0.0026149630912511777,8,11,False
25,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,d522ddf059f2043d688dba4397f3a7739325ae3cba2af82796272dafb5e37c0a,0.21324075700063488,1.7270972862273822e-05,13,13,True
132,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,8938f1827b95bb7d4bc08a296a136de7c24d5f6b9dcf8ce1ec2d0a4fa298c2dc,0.21419334975369458,1.7440238987892202e-05,10,14,False
47,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,183eb78a0caed755cd8095c8400c265521a186d813499b8a5d322272671f2660,0.21445443620239527,0.00035062016273156173,13,15,False
2150,2af1863322e5ff7bca144acc446f41a60f9f4b0806773298d4789d9d0f8f5bff,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,0.2159418236766303,0.002140730365501551,11,10,False
2282,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,577ee702c479d9c8f6afe85dec402b25dbbf08e242983a31d0f53bafe6cdaf53,0.21603174603174602,7.445125793062683e-05,8,3,False
11,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.21639608268698024,4.2813376131146685e-12,13,9,False
2213,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,e4fe0f55e17a57d457cebb3d4cb507fffa9cea5acf0e93347e897a7bdb115224,0.21885604816639298,3.984938820421718e-05,8,16,False
153,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,d522ddf059f2043d688dba4397f3a7739325ae3cba2af82796272dafb5e37c0a,0.2189260539422475,0.00016181326306784235,10,13,False
1039,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.2232322583408283,4.559310152649399e-23,0,3,False
151,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,70c8c2de0f0cedfcaa2fa93c185cb87ad7ae78dd7d672cb2c4dbd9519d93d18a,0.22483002890526402,7.794957620525182e-07,10,16,False
121,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,71aff448026f6a34a4105962a875ee37df5ced8fb606fffcf360f67cf6801d04,0.2266393367281284,9.383294353170281e-08,13,2,False
907,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.22671670777767985,4.6106472419285384e-29,3,9,False
1317,aad0f6701a88482eb26d5aa8b06e9d33eb1e3a7bcc4b96da58cd6fa28cc69126,e4fe0f55e17a57d457cebb3d4cb507fffa9cea5acf0e93347e897a7bdb115224,0.23021822422122273,4.234796297064332e-14,16,16,True
2175,2af1863322e5ff7bca144acc446f41a60f9f4b0806773298d4789d9d0f8f5bff,c677237cedd54f37e261f59f3c6a55608f227b6134882145de684c90dd880b1d,0.23235761288858633,0.0031521377930767086,11,17,False
9,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.23308774934154625,8.040370489278216e-16,13,4,False
1026,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,5389646ea08918451bdc1763a116fe00b1f1f19e32ea1840595e4f31f0bc57ad,0.2345781322836277,1.1400938007862218e-52,0,1,False
1560,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.23674123152857085,5.887960663788591e-19,14,2,False
1167,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.2375158859719556,4.418079950365507e-27,1,3,False
746,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,577ee702c479d9c8f6afe85dec402b25dbbf08e242983a31d0f53bafe6cdaf53,0.23846994535519125,2.1092383536474232e-14,2,3,False
1163,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.23870311924371537,2.6079458714111094e-32,1,9,False
165,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,e4fe0f55e17a57d457cebb3d4cb507fffa9cea5acf0e93347e897a7bdb115224,0.2411056376573618,5.984879308141637e-08,10,16,False
911,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.24193461619155723,5.222334691833318e-28,3,3,True
1493,f693b06b5f6ea9867c3f271f46ad951585cc4b61e78b0608a7e842ee176335be,6dd8f7bf1b910097e55682df69a4c9432193c8386b216b9297ab7ced0f13da8e,0.24302134646962234,0.0011750088968010947,17,11,False
1540,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,8938f1827b95bb7d4bc08a296a136de7c24d5f6b9dcf8ce1ec2d0a4fa298c2dc,0.2447022532188841,4.839224300752855e-12,14,14,True
37,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,e4fe0f55e17a57d457cebb3d4cb507fffa9cea5acf0e93347e897a7bdb115224,0.24570253585513682,1.1752368813149137e-12,13,16,False
920,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.24655929844866772,1.5303451652790945e-31,3,2,False
880,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.24672011106686426,1.5684248699666921e-34,9,5,False
2136,2af1863322e5ff7bca144acc446f41a60f9f4b0806773298d4789d9d0f8f5bff,993c595c9faa6118dc047a55fe80cc8b0c676913c325e471b6f04fd7e641163e,0.2467432950191571,0.0005767872827645732,11,8,False
2062,2af1863322e5ff7bca144acc446f41a60f9f4b0806773298d4789d9d0f8f5bff,d4006e3345fdac5b03d3ac4737ffcf9f42e822bedab4168b91836148bba3aef0,0.24855624855624855,0.050113390412344506,11,8,False
810,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,e7430e901370dfe1261df560c6a25570a228eeeb7df0670082aab87fabe61ffe,0.24989451476793248,8.176838160266713e-15,9,13,False
624,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.2517373389712491,1.0207135041019475e-47,4,5,False
230,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,0.2565658764934817,4.806184571517987e-06,10,10,True
